epoch,phase,class_index,class_name,support,tp,fp,fn,tn,precision,recall,f1,average_precision,false_positive_rate,false_negative_rate
22,fine_tuning,4,none,111,102,7,9,3376,0.93578,0.91892,0.92727,0.98585,0.00207,0.08108
23,fine_tuning,0,plastic,1220,1168,69,52,2205,0.94422,0.95738,0.95075,0.98741,0.03034,0.04262
23,fine_tuning,1,paper,1429,1359,52,70,2013,0.96315,0.95101,0.95704,0.99191,0.02518,0.04899
23,fine_tuning,2,metal,394,386,11,8,3089,0.97229,0.9797,0.97598,0.9956,0.00355,0.0203
23,fine_tuning,3,organic_waste,340,338,0,2,3154,1.0,0.99412,0.99705,0.99984,0.0,0.00588
23,fine_tuning,4,none,111,104,7,7,3376,0.93694,0.93694,0.93694,0.98169,0.00207,0.06306
24,fine_tuning,0,plastic,1220,1162,54,58,2220,0.95559,0.95246,0.95402,0.98858,0.02375,0.04754
24,fine_tuning,1,paper,1429,1375,60,54,2005,0.95819,0.96221,0.9602,0.99081,0.02906,0.03779
24,fine_tuning,2,metal,394,385,8,9,3092,0.97964,0.97716,0.9784,0.9954,0.00258,0.02284
24,fine_tuning,3,organic_waste,340,338,0,2,3154,1.0,0.99412,0.99705,0.99955,0.0,0.00588
24,fine_tuning,4,none,111,103,9,8,3374,0.91964,0.92793,0.92377,0.98428,0.00266,0.07207
25,fine_tuning,0,plastic,1220,1176,73,44,2201,0.94155,0.96393,0.95261,0.98573,0.0321,0.03607
25,fine_tuning,1,paper,1429,1354,42,75,2023,0.96991,0.94752,0.95858,0.99208,0.02034,0.05248
25,fine_tuning,2,metal,394,385,13,9,3087,0.96734,0.97716,0.97222,0.99501,0.00419,0.02284
25,fine_tuning,3,organic_waste,340,339,0,1,3154,1.0,0.99706,0.99853,0.99994,0.0,0.00294
25,fine_tuning,4,none,111,104,8,7,3375,0.92857,0.93694,0.93274,0.98501,0.00236,0.06306
26,fine_tuning,0,plastic,1220,1165,53,55,2221,0.95649,0.95492,0.9557,0.98884,0.02331,0.04508
26,fine_tuning,1,paper,1429,1374,54,55,2011,0.96218,0.96151,0.96185,0.99219,0.02615,0.03849
26,fine_tuning,2,metal,394,385,13,9,3087,0.96734,0.97716,0.97222,0.99447,0.00419,0.02284
26,fine_tuning,3,organic_waste,340,339,0,1,3154,1.0,0.99706,0.99853,0.99988,0.0,0.00294
26,fine_tuning,4,none,111,103,8,8,3375,0.92793,0.92793,0.92793,0.97838,0.00236,0.07207
27,fine_tuning,0,plastic,1220,1170,55,50,2219,0.9551,0.95902,0.95706,0.98908,0.02419,0.04098
27,fine_tuning,1,paper,1429,1373,53,56,2012,0.96283,0.96081,0.96182,0.99166,0.02567,0.03919
27,fine_tuning,2,metal,394,385,8,9,3092,0.97964,0.97716,0.9784,0.99469,0.00258,0.02284
27,fine_tuning,3,organic_waste,340,339,0,1,3154,1.0,0.99706,0.99853,0.99995,0.0,0.00294
27,fine_tuning,4,none,111,103,8,8,3375,0.92793,0.92793,0.92793,0.98335,0.00236,0.07207
28,fine_tuning,0,plastic,1220,1156,50,64,2224,0.95854,0.94754,0.95301,0.98959,0.02199,0.05246
28,fine_tuning,1,paper,1429,1378,64,51,2001,0.95562,0.96431,0.95994,0.99215,0.03099,0.03569
28,fine_tuning,2,metal,394,386,8,8,3092,0.9797,0.9797,0.9797,0.99561,0.00258,0.0203
28,fine_tuning,3,organic_waste,340,339,0,1,3154,1.0,0.99706,0.99853,0.99988,0.0,0.00294
28,fine_tuning,4,none,111,104,9,7,3374,0.92035,0.93694,0.92857,0.98083,0.00266,0.06306
29,fine_tuning,0,plastic,1220,1175,62,45,2212,0.94988,0.96311,0.95645,0.98808,0.02726,0.03689
29,fine_tuning,1,paper,1429,1366,48,63,2017,0.96605,0.95591,0.96096,0.99126,0.02324,0.04409
29,fine_tuning,2,metal,394,386,8,8,3092,0.9797,0.9797,0.9797,0.99496,0.00258,0.0203
29,fine_tuning,3,organic_waste,340,339,0,1,3154,1.0,0.99706,0.99853,0.99983,0.0,0.00294
29,fine_tuning,4,none,111,102,8,9,3375,0.92727,0.91892,0.92308,0.98225,0.00236,0.08108
30,fine_tuning,0,plastic,1220,1176,69,44,2205,0.94458,0.96393,0.95416,0.98812,0.03034,0.03607
30,fine_tuning,1,paper,1429,1359,47,70,2018,0.96657,0.95101,0.95873,0.9923,0.02276,0.04899
30,fine_tuning,2,metal,394,386,7,8,3093,0.98219,0.9797,0.98094,0.9957,0.00226,0.0203
30,fine_tuning,3,organic_waste,340,339,0,1,3154,1.0,0.99706,0.99853,0.99977,0.0,0.00294
30,fine_tuning,4,none,111,103,8,8,3375,0.92793,0.92793,0.92793,0.98357,0.00236,0.07207
31,fine_tuning,0,plastic,1220,1164,52,56,2222,0.95724,0.9541,0.95567,0.98987,0.02287,0.0459
31,fine_tuning,1,paper,1429,1376,55,53,2010,0.96157,0.96291,0.96224,0.99089,0.02663,0.03709
31,fine_tuning,2,metal,394,386,12,8,3088,0.96985,0.9797,0.97475,0.99433,0.00387,0.0203
31,fine_tuning,3,organic_waste,340,339,0,1,3154,1.0,0.99706,0.99853,0.99971,0.0,0.00294
31,fine_tuning,4,none,111,102,8,9,3375,0.92727,0.91892,0.92308,0.98062,0.00236,0.08108
32,fine_tuning,0,plastic,1220,1153,48,67,2226,0.96003,0.94508,0.9525,0.98836,0.02111,0.05492
32,fine_tuning,1,paper,1429,1380,63,49,2002,0.95634,0.96571,0.961,0.9918,0.03051,0.03429
32,fine_tuning,2,metal,394,385,12,9,3088,0.96977,0.97716,0.97345,0.99592,0.00387,0.02284
32,fine_tuning,3,organic_waste,340,339,0,1,3154,1.0,0.99706,0.99853,0.99979,0.0,0.00294
32,fine_tuning,4,none,111,105,9,6,3374,0.92105,0.94595,0.93333,0.98347,0.00266,0.05405
33,fine_tuning,0,plastic,1220,1164,52,56,2222,0.95724,0.9541,0.95567,0.98654,0.02287,0.0459
33,fine_tuning,1,paper,1429,1376,52,53,2013,0.96359,0.96291,0.96325,0.99195,0.02518,0.03709
33,fine_tuning,2,metal,394,386,12,8,3088,0.96985,0.9797,0.97475,0.99619,0.00387,0.0203
33,fine_tuning,3,organic_waste,340,339,0,1,3154,1.0,0.99706,0.99853,0.99988,0.0,0.00294
33,fine_tuning,4,none,111,104,9,7,3374,0.92035,0.93694,0.92857,0.983,0.00266,0.06306
34,fine_tuning,0,plastic,1220,1170,68,50,2206,0.94507,0.95902,0.95199,0.98582,0.0299,0.04098
34,fine_tuning,1,paper,1429,1360,46,69,2019,0.96728,0.95171,0.95944,0.99249,0.02228,0.04829
34,fine_tuning,2,metal,394,386,13,8,3087,0.96742,0.9797,0.97352,0.99651,0.00419,0.0203
34,fine_tuning,3,organic_waste,340,339,0,1,3154,1.0,0.99706,0.99853,0.99995,0.0,0.00294
34,fine_tuning,4,none,111,104,8,7,3375,0.92857,0.93694,0.93274,0.9803,0.00236,0.06306
35,fine_tuning,0,plastic,1220,1167,61,53,2213,0.95033,0.95656,0.95343,0.98966,0.02682,0.04344
35,fine_tuning,1,paper,1429,1368,51,61,2014,0.96406,0.95731,0.96067,0.99223,0.0247,0.04269
35,fine_tuning,2,metal,394,384,13,10,3087,0.96725,0.97462,0.97092,0.99679,0.00419,0.02538
35,fine_tuning,3,organic_waste,340,339,0,1,3154,1.0,0.99706,0.99853,0.99992,0.0,0.00294
35,fine_tuning,4,none,111,104,7,7,3376,0.93694,0.93694,0.93694,0.98602,0.00207,0.06306
36,fine_tuning,0,plastic,1220,1169,49,51,2225,0.95977,0.9582,0.95898,0.98957,0.02155,0.0418
36,fine_tuning,1,paper,1429,1381,52,48,2013,0.96371,0.96641,0.96506,0.99191,0.02518,0.03359
36,fine_tuning,2,metal,394,385,10,9,3090,0.97468,0.97716,0.97592,0.99534,0.00323,0.02284
36,fine_tuning,3,organic_waste,340,339,0,1,3154,1.0,0.99706,0.99853,0.99978,0.0,0.00294
36,fine_tuning,4,none,111,102,7,9,3376,0.93578,0.91892,0.92727,0.98084,0.00207,0.08108
37,fine_tuning,0,plastic,1220,1163,61,57,2213,0.95016,0.95328,0.95172,0.9904,0.02682,0.04672
37,fine_tuning,1,paper,1429,1370,59,59,2006,0.95871,0.95871,0.95871,0.99286,0.02857,0.04129
37,fine_tuning,2,metal,394,384,10,10,3090,0.97462,0.97462,0.97462,0.99581,0.00323,0.02538
37,fine_tuning,3,organic_waste,340,338,0,2,3154,1.0,0.99412,0.99705,0.99958,0.0,0.00588
37,fine_tuning,4,none,111,102,7,9,3376,0.93578,0.91892,0.92727,0.98062,0.00207,0.08108
38,fine_tuning,0,plastic,1220,1168,52,52,2222,0.95738,0.95738,0.95738,0.99098,0.02287,0.04262
38,fine_tuning,1,paper,1429,1379,50,50,2015,0.96501,0.96501,0.96501,0.99287,0.02421,0.03499
38,fine_tuning,2,metal,394,382,10,12,3090,0.97449,0.96954,0.97201,0.99651,0.00323,0.03046
38,fine_tuning,3,organic_waste,340,339,0,1,3154,1.0,0.99706,0.99853,0.99983,0.0,0.00294
38,fine_tuning,4,none,111,104,10,7,3373,0.91228,0.93694,0.92444,0.98353,0.00296,0.06306
39,fine_tuning,0,plastic,1220,1176,73,44,2201,0.94155,0.96393,0.95261,0.99187,0.0321,0.03607
39,fine_tuning,1,paper,1429,1361,45,68,2020,0.96799,0.95241,0.96014,0.99206,0.02179,0.04759
39,fine_tuning,2,metal,394,381,7,13,3093,0.98196,0.96701,0.97442,0.99586,0.00226,0.03299
39,fine_tuning,3,organic_waste,340,338,0,2,3154,1.0,0.99412,0.99705,0.99983,0.0,0.00588
39,fine_tuning,4,none,111,104,9,7,3374,0.92035,0.93694,0.92857,0.9821,0.00266,0.06306
40,fine_tuning,0,plastic,1220,1167,51,53,2223,0.95813,0.95656,0.95734,0.99166,0.02243,0.04344
40,fine_tuning,1,paper,1429,1376,51,53,2014,0.96426,0.96291,0.96359,0.99141,0.0247,0.03709
40,fine_tuning,2,metal,394,386,12,8,3088,0.96985,0.9797,0.97475,0.9953,0.00387,0.0203
40,fine_tuning,3,organic_waste,340,338,0,2,3154,1.0,0.99412,0.99705,0.99949,0.0,0.00588
40,fine_tuning,4,none,111,103,10,8,3373,0.9115,0.92793,0.91964,0.98323,0.00296,0.07207
